filename,idx,site,date,time,hour
train_soundscapes/BC2026_Train_0001_S08_20250606_030007.ogg,1,S08,2025-06-06,03:00:07,3
train_soundscapes/BC2026_Train_0002_S08_20250607_030007.ogg,2,S08,2025-06-07,03:00:07,3
train_soundscapes/BC2026_Train_0003_S08_20250607_070007.ogg,3,S08,2025-06-07,07:00:07,7
train_soundscapes/BC2026_Train_0004_S08_20250607_070007.ogg,4,S08,2025-06-07,07:00:07,7
train_soundscapes/BC2026_Train_0005_S08_20250607_070007.ogg,5,S08,2025-06-07,07:00:07,7
train_soundscapes/BC2026_Train_0006_S09_20250828_000000.ogg,6,S09,2025-08-28,00:00:00,0
train_soundscapes/BC2026_Train_0007_S09_20250829_000000.ogg,7,S09,2025-08-29,00:00:00,0
train_soundscapes/BC2026_Train_0008_S09_20250831_000000.ogg,8,S09,2025-08-31,00:00:00,0
train_soundscapes/BC2026_Train_0009_S09_20250828_000000.ogg,9,S09,2025-08-28,00:00:00,0
train_soundscapes/BC2026_Train_0010_S09_20250828_000000.ogg,10,S09,2025-08-28,00:00:00,0
train_soundscapes/BC2026_Train_0011_S03_20211114_200000.ogg,11,S03,2021-11-14,20:00:00,20
train_soundscapes/BC2026_Train_0012_S03_20220211_233000.ogg,12,S03,2022-02-11,23:30:00,23
train_soundscapes/BC2026_Train_0013_S13_20220217_233000.ogg,13,S13,2022-02-17,23:30:00,23
train_soundscapes/BC2026_Train_0014_S13_20220228_214500.ogg,14,S13,2022-02-28,21:45:00,21
train_soundscapes/BC2026_Train_0015_S18_20211016_011500.ogg,15,S18,2021-10-16,01:15:00,1
train_soundscapes/BC2026_Train_0016_S18_20220204_221500.ogg,16,S18,2022-02-04,22:15:00,22
train_soundscapes/BC2026_Train_0017_S22_20211026_233000.ogg,17,S22,2021-10-26,23:30:00,23
train_soundscapes/BC2026_Train_0018_S22_20211028_234500.ogg,18,S22,2021-10-28,23:45:00,23
train_soundscapes/BC2026_Train_0019_S22_20211104_200000.ogg,19,S22,2021-11-04,20:00:00,20
train_soundscapes/BC2026_Train_0020_S22_20211104_231500.ogg,20,S22,2021-11-04,23:15:00,23
train_soundscapes/BC2026_Train_0021_S22_20211106_023000.ogg,21,S22,2021-11-06,02:30:00,2
train_soundscapes/BC2026_Train_0022_S22_20211114_014500.ogg,22,S22,2021-11-14,01:45:00,1
train_soundscapes/BC2026_Train_0023_S22_20211121_230000.ogg,23,S22,2021-11-21,23:00:00,23
train_soundscapes/BC2026_Train_0024_S22_20211123_004500.ogg,24,S22,2021-11-23,00:45:00,0
train_soundscapes/BC2026_Train_0025_S22_20211127_024500.ogg,25,S22,2021-11-27,02:45:00,2
train_soundscapes/BC2026_Train_0026_S22_20211128_004500.ogg,26,S22,2021-11-28,00:45:00,0
train_soundscapes/BC2026_Train_0027_S22_20211129_014500.ogg,27,S22,2021-11-29,01:45:00,1
train_soundscapes/BC2026_Train_0028_S22_20211129_190000.ogg,28,S22,2021-11-29,19:00:00,19
train_soundscapes/BC2026_Train_0029_S22_20211211_023000.ogg,29,S22,2021-12-11,02:30:00,2
train_soundscapes/BC2026_Train_0030_S22_20211212_224500.ogg,30,S22,2021-12-12,22:45:00,22
train_soundscapes/BC2026_Train_0031_S22_20211214_204500.ogg,31,S22,2021-12-14,20:45:00,20
train_soundscapes/BC2026_Train_0032_S22_20211215_221500.ogg,32,S22,2021-12-15,22:15:00,22
train_soundscapes/BC2026_Train_0033_S22_20211216_200000.ogg,33,S22,2021-12-16,20:00:00,20
train_soundscapes/BC2026_Train_0034_S22_20211222_013000.ogg,34,S22,2021-12-22,01:30:00,1
train_soundscapes/BC2026_Train_0035_S22_20211223_213000.ogg,35,S22,2021-12-23,21:30:00,21
train_soundscapes/BC2026_Train_0036_S22_20211224_234500.ogg,36,S22,2021-12-24,23:45:00,23
train_soundscapes/BC2026_Train_0037_S22_20211226_021500.ogg,37,S22,2021-12-26,02:15:00,2
train_soundscapes/BC2026_Train_0038_S22_20211228_220000.ogg,38,S22,2021-12-28,22:00:00,22
train_soundscapes/BC2026_Train_0039_S22_20211231_201500.ogg,39,S22,2021-12-31,20:15:00,20
train_soundscapes/BC2026_Train_0040_S22_20220101_014500.ogg,40,S22,2022-01-01,01:45:00,1
train_soundscapes/BC2026_Train_0041_S22_20220105_223000.ogg,41,S22,2022-01-05,22:30:00,22
train_soundscapes/BC2026_Train_0042_S22_20220106_210000.ogg,42,S22,2022-01-06,21:00:00,21
train_soundscapes/BC2026_Train_0043_S22_20220112_040000.ogg,43,S22,2022-01-12,04:00:00,4
train_soundscapes/BC2026_Train_0044_S22_20220124_023000.ogg,44,S22,2022-01-24,02:30:00,2
train_soundscapes/BC2026_Train_0045_S22_20220125_211500.ogg,45,S22,2022-01-25,21:15:00,21
train_soundscapes/BC2026_Train_0046_S22_20220127_230000.ogg,46,S22,2022-01-27,23:00:00,23
train_soundscapes/BC2026_Train_0047_S22_20220131_003000.ogg,47,S22,2022-01-31,00:30:00,0
train_soundscapes/BC2026_Train_0048_S22_20220131_180000.ogg,48,S22,2022-01-31,18:00:00,18
train_soundscapes/BC2026_Train_0049_S22_20220203_221500.ogg,49,S22,2022-02-03,22:15:00,22
train_soundscapes/BC2026_Train_0050_S22_20220205_214500.ogg,50,S22,2022-02-05,21:45:00,21
train_soundscapes/BC2026_Train_0051_S22_20220208_231500.ogg,51,S22,2022-02-08,23:15:00,23
train_soundscapes/BC2026_Train_0052_S22_20220210_210000.ogg,52,S22,2022-02-10,21:00:00,21
train_soundscapes/BC2026_Train_0053_S22_20220211_204500.ogg,53,S22,2022-02-11,20:45:00,20
train_soundscapes/BC2026_Train_0054_S22_20220214_034500.ogg,54,S22,2022-02-14,03:45:00,3
train_soundscapes/BC2026_Train_0055_S22_20220219_200000.ogg,55,S22,2022-02-19,20:00:00,20
train_soundscapes/BC2026_Train_0056_S22_20220221_214500.ogg,56,S22,2022-02-21,21:45:00,21
train_soundscapes/BC2026_Train_0057_S15_20250617_060000.ogg,57,S15,2025-06-17,06:00:00,6
train_soundscapes/BC2026_Train_0058_S15_20250617_060100.ogg,58,S15,2025-06-17,06:01:00,6
train_soundscapes/BC2026_Train_0059_S15_20250617_060200.ogg,59,S15,2025-06-17,06:02:00,6
train_soundscapes/BC2026_Train_0060_S15_20250617_062700.ogg,60,S15,2025-06-17,06:27:00,6
train_soundscapes/BC2026_Train_0061_S19_20250418_210000.ogg,61,S19,2025-04-18,21:00:00,21
train_soundscapes/BC2026_Train_0062_S19_20241213_193000.ogg,62,S19,2024-12-13,19:30:00,19
train_soundscapes/BC2026_Train_0063_S19_20241214_190000.ogg,63,S19,2024-12-14,19:00:00,19
train_soundscapes/BC2026_Train_0064_S23_20241124_032002.ogg,64,S23,2024-11-24,03:20:02,3
train_soundscapes/BC2026_Train_0065_S23_20241124_040002.ogg,65,S23,2024-11-24,04:00:02,4
train_soundscapes/BC2026_Train_0066_S23_20241124_044002.ogg,66,S23,2024-11-24,04:40:02,4
train_soundscapes/BC2026_Train_0067_S04_20240810_000000.ogg,67,S04,2024-08-10,00:00:00,0
train_soundscapes/BC2026_Train_0068_S04_20240810_000000.ogg,68,S04,2024-08-10,00:00:00,0
train_soundscapes/BC2026_Train_0069_S04_20240810_000000.ogg,69,S04,2024-08-10,00:00:00,0
train_soundscapes/BC2026_Train_0070_S04_20240810_080005.ogg,70,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0071_S04_20240810_080005.ogg,71,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0072_S04_20240810_080005.ogg,72,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0073_S04_20240810_080005.ogg,73,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0074_S04_20240810_080005.ogg,74,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0075_S04_20240810_080005.ogg,75,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0076_S04_20240810_080005.ogg,76,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0077_S04_20240810_080005.ogg,77,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0078_S04_20240810_080005.ogg,78,S04,2024-08-10,08:00:05,8
train_soundscapes/BC2026_Train_0079_S04_20241201_040008.ogg,79,S04,2024-12-01,04:00:08,4
train_soundscapes/BC2026_Train_0080_S04_20241201_040008.ogg,80,S04,2024-12-01,04:00:08,4
train_soundscapes/BC2026_Train_0081_S04_20241201_040008.ogg,81,S04,2024-12-01,04:00:08,4
train_soundscapes/BC2026_Train_0082_S04_20250318_170005.ogg,82,S04,2025-03-18,17:00:05,17
train_soundscapes/BC2026_Train_0083_S04_20250318_170005.ogg,83,S04,2025-03-18,17:00:05,17
train_soundscapes/BC2026_Train_0084_S05_20241125_030005.ogg,84,S05,2024-11-25,03:00:05,3
train_soundscapes/BC2026_Train_0085_S05_20241125_030005.ogg,85,S05,2024-11-25,03:00:05,3
train_soundscapes/BC2026_Train_0086_S05_20241125_030005.ogg,86,S05,2024-11-25,03:00:05,3
train_soundscapes/BC2026_Train_0087_S05_20241125_030005.ogg,87,S05,2024-11-25,03:00:05,3
train_soundscapes/BC2026_Train_0088_S05_20241125_030005.ogg,88,S05,2024-11-25,03:00:05,3
train_soundscapes/BC2026_Train_0089_S05_20250227_170004.ogg,89,S05,2025-02-27,17:00:04,17
train_soundscapes/BC2026_Train_0090_S05_20250227_170004.ogg,90,S05,2025-02-27,17:00:04,17
train_soundscapes/BC2026_Train_0091_S05_20250227_170004.ogg,91,S05,2025-02-27,17:00:04,17
train_soundscapes/BC2026_Train_0092_S05_20250227_170004.ogg,92,S05,2025-02-27,17:00:04,17
train_soundscapes/BC2026_Train_0093_S06_20140508_210000.ogg,93,S06,2014-05-08,21:00:00,21
train_soundscapes/BC2026_Train_0094_S06_20140508_210100.ogg,94,S06,2014-05-08,21:01:00,21
train_soundscapes/BC2026_Train_0095_S06_20140508_210200.ogg,95,S06,2014-05-08,21:02:00,21
train_soundscapes/BC2026_Train_0096_S06_20140508_210300.ogg,96,S06,2014-05-08,21:03:00,21
train_soundscapes/BC2026_Train_0097_S06_20140508_210400.ogg,97,S06,2014-05-08,21:04:00,21
train_soundscapes/BC2026_Train_0098_S06_20140508_210500.ogg,98,S06,2014-05-08,21:05:00,21
train_soundscapes/BC2026_Train_0099_S06_20140508_210600.ogg,99,S06,2014-05-08,21:06:00,21
train_soundscapes/BC2026_Train_0100_S06_20140508_210700.ogg,100,S06,2014-05-08,21:07:00,21
train_soundscapes/BC2026_Train_0101_S06_20140508_210800.ogg,101,S06,2014-05-08,21:08:00,21
train_soundscapes/BC2026_Train_0102_S06_20140508_210900.ogg,102,S06,2014-05-08,21:09:00,21
train_soundscapes/BC2026_Train_0103_S06_20140508_211000.ogg,103,S06,2014-05-08,21:10:00,21
train_soundscapes/BC2026_Train_0104_S06_20140508_211100.ogg,104,S06,2014-05-08,21:11:00,21
train_soundscapes/BC2026_Train_0105_S06_20140508_211200.ogg,105,S06,2014-05-08,21:12:00,21
train_soundscapes/BC2026_Train_0106_S06_20140508_211300.ogg,106,S06,2014-05-08,21:13:00,21
train_soundscapes/BC2026_Train_0107_S06_20140508_211400.ogg,107,S06,2014-05-08,21:14:00,21
train_soundscapes/BC2026_Train_0108_S06_20140526_020000.ogg,108,S06,2014-05-26,02:00:00,2
train_soundscapes/BC2026_Train_0109_S06_20140526_020100.ogg,109,S06,2014-05-26,02:01:00,2
train_soundscapes/BC2026_Train_0110_S06_20140526_020200.ogg,110,S06,2014-05-26,02:02:00,2
