filename,primary_label,common_name,dur_sec,size_b,group_n,is_cross_species,group_key
22973/iNat887040.ogg,22973,Whistling Grass Frog,7.8948125,56476,2,False,252634_32000_56476
22973/iNat887102.ogg,22973,Whistling Grass Frog,7.8948125,56476,2,False,252634_32000_56476
22983/iNat551114.ogg,22983,Pepper Frog,17.158875,131790,2,False,549084_32000_131790
22983/iNat551115.ogg,22983,Pepper Frog,17.158875,131790,2,False,549084_32000_131790
23158/iNat127451.ogg,23158,Pale-legged Weeping Frog,36.8493125,291496,2,True,1179178_32000_291496
24279/iNat125223.ogg,24279,Lesser Snouted Tree Frog,36.8493125,291496,2,True,1179178_32000_291496
244024/iNat1320394.ogg,244024,Giant Cicada,28.97734375,225391,2,False,927275_32000_225391
244024/iNat1320482.ogg,244024,Giant Cicada,28.97734375,225391,2,False,927275_32000_225391
47144/iNat1346365.ogg,47144,Domestic Dog,0.144,5662,2,True,4608_32000_5662
strcuc1/iNat1670795.ogg,strcuc1,Striped Cuckoo,0.144,5662,2,True,4608_32000_5662
65377/iNat181418.ogg,65377,Lesser Tree Frog,9.74934375,73199,2,False,311979_32000_73199
65377/iNat181436.ogg,65377,Lesser Tree Frog,9.74934375,73199,2,False,311979_32000_73199
ashgre1/iNat1400791.ogg,ashgre1,Ashy-headed Greenlet,0.048,4855,2,True,1536_32000_4855
squcuc1/iNat188319.ogg,squcuc1,Common Squirrel-Cuckoo,0.048,4855,2,True,1536_32000_4855
banana/iNat1630115.ogg,banana,Bananaquit,0.048,4842,2,True,1536_32000_4842
eulfly1/iNat1738901.ogg,eulfly1,Euler's Flycatcher,0.048,4842,2,True,1536_32000_4842
barant1/XC435937.ogg,barant1,Barred Antshrike,4.992,47669,2,True,159744_32000_47669
ragmac1/XC441437.ogg,ragmac1,Red-and-green Macaw,4.992,47669,2,True,159744_32000_47669
bbwduc/iNat942419.ogg,bbwduc,Black-bellied Whistling Duck,53.61490625,400226,2,False,1715677_32000_400226
bbwduc/iNat942417.ogg,bbwduc,Black-bellied Whistling Duck,53.61490625,400226,2,False,1715677_32000_400226
bbwduc/iNat950803.ogg,bbwduc,Black-bellied Whistling Duck,8.73071875,66760,2,False,279383_32000_66760
bbwduc/iNat950357.ogg,bbwduc,Black-bellied Whistling Duck,8.73071875,66760,2,False,279383_32000_66760
bbwduc/iNat805724.ogg,bbwduc,Black-bellied Whistling Duck,16.4861875,122516,2,False,527558_32000_122516
bbwduc/iNat805723.ogg,bbwduc,Black-bellied Whistling Duck,16.4861875,122516,2,False,527558_32000_122516
bbwduc/iNat385380.ogg,bbwduc,Black-bellied Whistling Duck,6.0604375,47028,2,False,193934_32000_47028
bbwduc/iNat385656.ogg,bbwduc,Black-bellied Whistling Duck,6.0604375,47028,2,False,193934_32000_47028
