name,site,date,labeled,rms,peak,dc_offset,noise_floor,p99,n_samples,n_clipped
BC2026_Train_2149_S01_20240115_183000.ogg,S01,20240115,False,0.34178346395492554,1.1397019624710083,-0.004238072317093611,0.006574003025889397,1.0147970914840698,1920000,82804
BC2026_Train_1365_S01_20230331_234500.ogg,S01,20230331,False,0.1650025099515915,1.2398709058761597,-0.00562484422698617,0.009153700433671474,0.48468130826950073,1920000,261
BC2026_Train_1508_S01_20230901_003000.ogg,S01,20230901,False,0.13945651054382324,0.7456858158111572,-0.005580999422818422,0.008550970815122128,0.3673742711544037,1920000,0
BC2026_Train_1654_S01_20231002_210000.ogg,S01,20231002,False,0.22316040098667145,1.1470131874084473,-0.005803027655929327,0.012376337312161922,0.6370775103569031,1920000,124
BC2026_Train_0356_S01_20211005_194500.ogg,S01,20211005,False,0.01415968593209982,0.35408610105514526,0.010654011741280556,0.0012189744738861918,0.03172382339835167,1920000,0
BC2026_Train_2023_S01_20231217_001500.ogg,S01,20231217,False,0.14780424535274506,0.9589174389839172,-0.005711354780942202,0.008554014377295971,0.4125826954841614,1920000,0
BC2026_Train_2262_S01_20240211_013000.ogg,S01,20240211,False,0.3225063681602478,1.1807844638824463,-0.0055411518551409245,0.018800783902406693,0.874894917011261,1920000,3118
BC2026_Train_1312_S01_20230319_233000.ogg,S01,20230319,False,0.48643046617507935,1.5901886224746704,-0.004922397434711456,0.03067035600543022,1.087559461593628,1920000,59265
BC2026_Train_1818_S01_20231104_210000.ogg,S01,20231104,False,0.08278249949216843,1.1695376634597778,-0.005375877022743225,0.004602107685059309,0.227941632270813,1920000,16
BC2026_Train_1983_S01_20231207_213000.ogg,S01,20231207,False,0.13000302016735077,0.8136005401611328,-0.005928531754761934,0.007884794846177101,0.3473774492740631,1920000,0
BC2026_Train_1545_S01_20230911_233000.ogg,S01,20230911,False,0.23397523164749146,1.2261720895767212,-0.005577881820499897,0.013887214474380016,0.6304162740707397,1920000,139
BC2026_Train_2546_S01_20240414_204500.ogg,S01,20240414,False,0.21739333868026733,1.150244116783142,-0.005959164351224899,0.012392855249345303,0.6236678957939148,1920000,442
BC2026_Train_2252_S01_20240208_214500.ogg,S01,20240208,False,0.29359352588653564,1.3212822675704956,-0.0056432331912219524,0.0167898740619421,0.8134227991104126,1920000,1910
BC2026_Train_0945_S01_20220414_033000.ogg,S01,20220414,False,0.05129477009177208,0.3390483856201172,0.01107162144035101,0.002779224421828985,0.15324243903160095,1920000,0
BC2026_Train_0766_S01_20220110_211500.ogg,S01,20220110,False,0.019011255353689194,0.13153836131095886,0.011010359972715378,0.001334574306383729,0.0512533076107502,1920000,0
BC2026_Train_1681_S01_20231007_020000.ogg,S01,20231007,False,0.2148495763540268,1.1194183826446533,-0.005705513525754213,0.013136952184140682,0.5705298185348511,1920000,53
BC2026_Train_1543_S01_20230911_024500.ogg,S01,20230911,False,0.20288677513599396,1.0857222080230713,-0.0053690592758357525,0.011974422261118889,0.5558162927627563,1920000,33
BC2026_Train_0748_S01_20220107_010000.ogg,S01,20220107,False,0.018091697245836258,0.09650932252407074,0.010954830795526505,0.0012319193920120597,0.045889973640441895,1920000,0
BC2026_Train_2281_S01_20240215_204500.ogg,S01,20240215,False,0.16024070978164673,1.0022704601287842,-0.0060151563957333565,0.00953687634319067,0.4380178153514862,1920000,1
BC2026_Train_0518_S01_20211117_214500.ogg,S01,20211117,False,0.055604442954063416,0.45703575015068054,0.011145849712193012,0.002264739014208317,0.19841650128364563,1920000,0
BC2026_Train_2611_S01_20240429_204500.ogg,S01,20240429,False,0.20726297795772552,1.1554940938949585,-0.005937681067734957,0.012615821324288845,0.5510923266410828,1920000,32
BC2026_Train_1121_S01_20230211_200000.ogg,S01,20230211,False,0.3053712546825409,1.2951219081878662,-0.005816224031150341,0.017914824187755585,0.8706756830215454,1920000,4998
BC2026_Train_1878_S01_20231117_010000.ogg,S01,20231117,False,0.48355013132095337,1.0730350017547607,-0.0005756568862125278,0.018937502056360245,1.0179215669631958,1920000,193133
BC2026_Train_1482_S01_20230425_193000.ogg,S01,20230425,False,0.9755913019180298,1.5090429782867432,0.07383342832326889,0.586030900478363,1.0826854705810547,1920000,1361056
BC2026_Train_1517_S01_20230903_181500.ogg,S01,20230903,False,0.0899570882320404,0.5957340598106384,-0.006237145978957415,0.005491998046636581,0.23913554847240448,1920000,0
BC2026_Train_2457_S01_20240328_221500.ogg,S01,20240328,False,0.36038944125175476,1.3059250116348267,-0.0037742899730801582,0.02057148516178131,0.9951592683792114,1920000,17599
BC2026_Train_1620_S01_20230926_013000.ogg,S01,20230926,False,0.23252078890800476,1.155716896057129,-0.005812825635075569,0.014158038422465324,0.6159489750862122,1920000,72
BC2026_Train_0593_S01_20211204_003000.ogg,S01,20211204,False,0.018605072051286697,0.22156402468681335,0.010961214080452919,0.0012180021731182933,0.04853258654475212,1920000,0
BC2026_Train_1027_S01_20220430_203000.ogg,S01,20220430,False,0.018755141645669937,0.10874176025390625,0.010835586115717888,0.001275868620723486,0.05039653182029724,1920000,0
BC2026_Train_0631_S01_20211212_214500.ogg,S01,20211212,False,0.03273211419582367,1.096985101699829,0.010911934077739716,0.0015579166356474161,0.09373082220554352,1920000,9
BC2026_Train_2380_S01_20240309_003000.ogg,S01,20240309,False,0.3291304111480713,1.2614259719848633,-0.005816576536744833,0.019003864377737045,0.8810701370239258,1920000,3686
BC2026_Train_1751_S01_20231021_224500.ogg,S01,20231021,False,0.12820814549922943,0.9953446388244629,-0.006062089465558529,0.0062095243483781815,0.4372047781944275,1920000,0
BC2026_Train_1432_S01_20230415_003000.ogg,S01,20230415,False,0.5043330192565918,1.8415716886520386,-0.0036149052903056145,0.03285174071788788,1.126287579536438,1920000,68048
BC2026_Train_1223_S01_20230301_230000.ogg,S01,20230301,False,0.24283072352409363,1.2601649761199951,-0.005910193081945181,0.0133278276771307,0.736781120300293,1920000,1617
BC2026_Train_2387_S01_20240310_184500.ogg,S01,20240310,False,0.12383657693862915,0.7234504818916321,-0.006351969204843044,0.0073309470899403095,0.3365825414657593,1920000,0
BC2026_Train_0940_S01_20220413_211500.ogg,S01,20220413,False,0.017604252323508263,1.0969057083129883,0.011090715415775776,0.0012045050971210003,0.03708133101463318,1920000,9
BC2026_Train_2574_S01_20240422_021500.ogg,S01,20240422,False,0.18818511068820953,1.0193934440612793,-0.0056664301082491875,0.011369811370968819,0.5069651007652283,1920000,7
BC2026_Train_0823_S01_20220123_231500.ogg,S01,20220123,False,0.019283417612314224,0.1276848316192627,0.010745554231107235,0.0012671670410782099,0.049631789326667786,1920000,0
BC2026_Train_0355_S01_20211005_191500.ogg,S01,20211005,False,0.023288045078516006,0.11504586040973663,0.010493204928934574,0.0014225506456568837,0.06252235174179077,1920000,0
BC2026_Train_2583_S01_20240424_021500.ogg,S01,20240424,False,0.19410912692546844,1.0217686891555786,-0.005681248847395182,0.011805752292275429,0.5137509703636169,1920000,1
BC2026_Train_1016_S01_20220427_213000.ogg,S01,20220427,False,0.018428664654493332,0.09935730695724487,0.010866887867450714,0.0012222061632201076,0.04708946868777275,1920000,0
BC2026_Train_1958_S01_20231204_003000.ogg,S01,20231204,False,0.12040945142507553,1.044168472290039,-0.005554025061428547,0.0066852085292339325,0.35999032855033875,1920000,3
BC2026_Train_1042_S01_20230124_020000.ogg,S01,20230124,False,0.12697279453277588,0.9790232181549072,-0.005518775898963213,0.00780858239158988,0.3323075771331787,1920000,0
BC2026_Train_0681_S01_20211223_034500.ogg,S01,20211223,False,0.03730705380439758,0.3268451392650604,0.010946840047836304,0.0017517678206786513,0.1286786049604416,1920000,0
BC2026_Train_1100_S01_20230207_020000.ogg,S01,20230207,False,0.18308418989181519,1.0080358982086182,-0.0054887430742383,0.010968746617436409,0.49341991543769836,1920000,3
BC2026_Train_0896_S01_20220208_183000.ogg,S01,20220208,False,0.04671642184257507,0.832297146320343,0.010223007760941982,0.0018254350870847702,0.2364514023065567,1920000,0
BC2026_Train_1584_S01_20230919_180000.ogg,S01,20230919,False,0.0817151740193367,1.2570947408676147,-0.006307556293904781,0.002349822549149394,0.3098320960998535,1920000,1647
BC2026_Train_2361_S01_20240303_200000.ogg,S01,20240303,False,0.18560193479061127,1.0984549522399902,-0.006154193542897701,0.011027860455214977,0.5060975551605225,1920000,7
