labeled,unlabeled,site,date,labeled_time,unlabeled_time,best_cosine_sim,best_offset_pair,exact_hash_matches
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7800_S22_20220205_213000.ogg,S22,20220205,214500,213000,0.9519530304217083,"(50, 30)",0
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7798_S22_20220205_194500.ogg,S22,20220205,214500,194500,0.987744367837388,"(10, 50)",0
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7799_S22_20220205_200000.ogg,S22,20220205,214500,200000,0.9609128074404637,"(20, 0)",0
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7797_S22_20220205_181500.ogg,S22,20220205,214500,181500,0.1627424914929539,"(50, 50)",0
BC2026_Train_0050_S22_20220205_214500.ogg,BC2026_Train_7796_S22_20220205_010000.ogg,S22,20220205,214500,010000,0.8394213733933235,"(50, 0)",0
BC2026_Train_0013_S13_20220217_233000.ogg,BC2026_Train_5338_S13_20220217_214500.ogg,S13,20220217,233000,214500,0.9803045703741077,"(0, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10572_S19_20250418_200000.ogg,S19,20250418,210000,200000,0.9973285984962914,"(20, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10571_S19_20250418_193000.ogg,S19,20250418,210000,193000,0.9240971592184908,"(50, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10566_S19_20250418_170000.ogg,S19,20250418,210000,170000,0.9404485098230535,"(0, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10568_S19_20250418_180000.ogg,S19,20250418,210000,180000,0.9558038846970839,"(40, 0)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10573_S19_20250418_203000.ogg,S19,20250418,210000,203000,0.9982513261257163,"(30, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10574_S19_20250418_210000.ogg,S19,20250418,210000,210000,0.9992032097096148,"(50, 20)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10567_S19_20250418_173000.ogg,S19,20250418,210000,173000,0.9573876494630434,"(40, 50)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10570_S19_20250418_190000.ogg,S19,20250418,210000,190000,0.9239037352151177,"(50, 0)",0
BC2026_Train_0061_S19_20250418_210000.ogg,BC2026_Train_10569_S19_20250418_183000.ogg,S19,20250418,210000,183000,0.9092307710510298,"(50, 50)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7527_S22_20211216_184500.ogg,S22,20211216,200000,184500,0.8891670955268185,"(10, 40)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7528_S22_20211216_214500.ogg,S22,20211216,200000,214500,0.9639618806806345,"(30, 20)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7529_S22_20211216_220000.ogg,S22,20211216,200000,220000,0.9511092127307941,"(30, 40)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7525_S22_20211216_031500.ogg,S22,20211216,200000,031500,0.9881815884714648,"(50, 10)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7526_S22_20211216_180000.ogg,S22,20211216,200000,180000,0.9507707703720459,"(20, 40)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7524_S22_20211216_003000.ogg,S22,20211216,200000,003000,0.9688036475889953,"(0, 0)",0
BC2026_Train_0033_S22_20211216_200000.ogg,BC2026_Train_7530_S22_20211216_223000.ogg,S22,20211216,200000,223000,0.9439102430298668,"(30, 0)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7728_S22_20220125_001500.ogg,S22,20220125,211500,001500,0.833100806425923,"(30, 0)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7732_S22_20220125_184500.ogg,S22,20220125,211500,184500,0.6878607688020363,"(20, 10)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7738_S22_20220125_231500.ogg,S22,20220125,211500,231500,0.9872330996519016,"(30, 30)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7734_S22_20220125_191500.ogg,S22,20220125,211500,191500,0.5753552862522333,"(30, 50)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7733_S22_20220125_190000.ogg,S22,20220125,211500,190000,0.5369881392799013,"(30, 20)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7735_S22_20220125_203000.ogg,S22,20220125,211500,203000,0.9956868564983516,"(30, 50)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7736_S22_20220125_221500.ogg,S22,20220125,211500,221500,0.9954177327230063,"(20, 0)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7729_S22_20220125_011500.ogg,S22,20220125,211500,011500,0.8269573459535065,"(30, 10)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7730_S22_20220125_030000.ogg,S22,20220125,211500,030000,0.7823127996686318,"(30, 50)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7737_S22_20220125_230000.ogg,S22,20220125,211500,230000,0.9958965943155929,"(0, 0)",0
BC2026_Train_0045_S22_20220125_211500.ogg,BC2026_Train_7731_S22_20220125_031500.ogg,S22,20220125,211500,031500,0.8226531564124588,"(30, 50)",0
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_7345_S22_20211114_194500.ogg,S22,20211114,014500,194500,0.9410803775569083,"(0, 40)",0
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_7343_S22_20211114_033000.ogg,S22,20211114,014500,033000,0.9908670621219309,"(0, 30)",0
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_7342_S22_20211114_024500.ogg,S22,20211114,014500,024500,0.9885555070073806,"(0, 20)",0
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_7341_S22_20211114_013000.ogg,S22,20211114,014500,013000,0.9963759985461391,"(10, 50)",0
BC2026_Train_0022_S22_20211114_014500.ogg,BC2026_Train_7344_S22_20211114_183000.ogg,S22,20211114,014500,183000,0.9008130042760376,"(0, 40)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7642_S22_20220106_024500.ogg,S22,20220106,210000,024500,0.8065823771346251,"(20, 30)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7645_S22_20220106_223000.ogg,S22,20220106,210000,223000,0.9989018893421828,"(50, 0)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7643_S22_20220106_200000.ogg,S22,20220106,210000,200000,0.9737815358446725,"(20, 50)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7640_S22_20220106_011500.ogg,S22,20220106,210000,011500,0.7991832446486671,"(20, 20)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7644_S22_20220106_211500.ogg,S22,20220106,210000,211500,0.9992442573680629,"(40, 40)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7647_S22_20220106_231500.ogg,S22,20220106,210000,231500,0.9919152098274153,"(0, 10)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7646_S22_20220106_230000.ogg,S22,20220106,210000,230000,0.9982795365239933,"(50, 20)",0
BC2026_Train_0042_S22_20220106_210000.ogg,BC2026_Train_7641_S22_20220106_020000.ogg,S22,20220106,210000,020000,0.8366916867066226,"(20, 30)",0
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_7421_S22_20211128_203000.ogg,S22,20211128,004500,203000,0.8618945745508715,"(50, 0)",0
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_7419_S22_20211128_031500.ogg,S22,20211128,004500,031500,0.9958919200940073,"(40, 30)",0
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_7422_S22_20211128_204500.ogg,S22,20211128,004500,204500,0.9498402659130883,"(50, 0)",0
BC2026_Train_0026_S22_20211128_004500.ogg,BC2026_Train_7420_S22_20211128_201500.ogg,S22,20211128,004500,201500,0.9581000391387435,"(50, 0)",0
