site,date,time,idx_a,idx_b,a_labeled,b_labeled,peak_offset_s,peak_norm_corr
S08,20250607,070007,3,4,True,True,-1.0935,0.008643203414976597
S08,20250607,070007,3,5,True,True,0.9985,0.009866331703960896
S08,20250607,070007,4,5,True,True,3.583,0.013417951762676239
S09,20250828,000000,6,9,True,True,0.1215,0.025474855676293373
S09,20250828,000000,6,10,True,True,0.91325,0.03276696428656578
S09,20250828,000000,9,10,True,True,-22.18025,-0.02186870388686657
S19,20250418,210000,61,10574,True,False,18.8635,0.057728350162506104
S19,20241213,193000,62,10578,True,False,8.87825,0.17993475496768951
S19,20241213,193000,62,10614,True,False,-49.33625,-0.2472822368144989
S19,20241213,193000,62,10615,True,False,8.848,-0.18970108032226562
S19,20241213,193000,10578,10614,False,False,-57.936,0.09453601390123367
S19,20241213,193000,10578,10615,False,False,-0.015,0.8043119311332703
S19,20241213,193000,10614,10615,False,False,58.37725,-0.11574956774711609
S19,20241214,190000,63,10586,True,False,12.36075,-0.021093666553497314
S19,20241214,190000,63,10624,True,False,-3.247,0.020498676225543022
S19,20241214,190000,63,10625,True,False,18.32575,-0.020491071045398712
S19,20241214,190000,10586,10624,False,False,-17.4425,0.053362686187028885
S19,20241214,190000,10586,10625,False,False,-0.02025,0.7495335340499878
S19,20241214,190000,10624,10625,False,False,45.84725,-0.05641790106892586
S04,20240810,000000,67,68,False,False,4.43975,-0.0503653883934021
S04,20240810,000000,67,69,False,False,-1.11375,-0.03503187373280525
S04,20240810,000000,68,69,False,False,3.84425,-0.04383200779557228
S04,20240810,080005,70,71,False,False,-20.05725,-0.039999641478061676
S04,20240810,080005,70,72,False,False,-2.041,-0.03377480059862137
S04,20240810,080005,70,73,False,False,-11.43025,0.03846904635429382
S04,20240810,080005,70,74,False,False,19.40975,-0.057391081005334854
S04,20240810,080005,70,75,False,False,-44.8175,-0.08992207795381546
S04,20240810,080005,70,76,False,False,11.58825,0.059305429458618164
S04,20240810,080005,70,77,False,False,1.864,0.05217628553509712
S04,20240810,080005,70,78,False,False,-10.82175,-0.07150585204362869
S04,20240810,080005,71,72,False,False,20.567,-0.02326858416199684
S04,20240810,080005,71,73,False,False,31.581,-0.04470263049006462
S04,20240810,080005,71,74,False,False,18.1705,-0.057888779789209366
S04,20240810,080005,71,75,False,False,-1.3325,0.04862914979457855
S04,20240810,080005,71,76,False,False,5.58825,0.0532929003238678
S04,20240810,080005,71,77,False,False,-20.91775,0.043162669986486435
S04,20240810,080005,71,78,False,False,29.45175,-0.044569529592990875
S04,20240810,080005,72,73,False,False,-12.9645,-0.031650662422180176
S04,20240810,080005,72,74,False,False,-22.88725,-0.03150831162929535
S04,20240810,080005,72,75,False,False,-42.32,0.0400439128279686
S04,20240810,080005,72,76,False,False,-32.11575,-0.03269951418042183
S04,20240810,080005,72,77,False,False,-51.00975,0.026262858882546425
S04,20240810,080005,72,78,False,False,-7.76275,0.0326947458088398
S04,20240810,080005,73,74,False,False,-13.7575,-0.05583740398287773
S04,20240810,080005,73,75,False,False,-33.5125,0.0697193518280983
S04,20240810,080005,73,76,False,False,-18.613,-0.08157917112112045
S04,20240810,080005,73,77,False,False,-42.22225,0.06103735417127609
S04,20240810,080005,73,78,False,False,1.39,0.05466914176940918
S04,20240810,080005,74,75,False,False,-18.481,0.12044769525527954
S04,20240810,080005,74,76,False,False,-9.05475,0.07739847898483276
S04,20240810,080005,74,77,False,False,-26.8345,-0.07608217746019363
S04,20240810,080005,74,78,False,False,17.7705,0.08150379359722137
S04,20240810,080005,75,76,False,False,11.08775,0.10551721602678299
S04,20240810,080005,75,77,False,False,-9.28225,-0.09705883264541626
S04,20240810,080005,75,78,False,False,33.9395,-0.10427149385213852
S04,20240810,080005,76,77,False,False,-19.44375,-0.0962039902806282
S04,20240810,080005,76,78,False,False,27.5795,0.08369144797325134
S04,20240810,080005,77,78,False,False,43.89075,-0.08124401420354843
S04,20241201,040008,79,80,False,False,7.33375,-0.010470040142536163
S04,20241201,040008,79,81,False,False,1.49675,-0.010882983915507793
S04,20241201,040008,80,81,False,False,15.43425,0.010017840191721916
S04,20250318,170005,82,83,False,False,-12.0565,0.020951634272933006
S05,20241125,030005,84,85,False,False,-5.36375,0.022988567128777504
S05,20241125,030005,84,86,False,False,0.12025,0.006951785646378994
S05,20241125,030005,84,87,False,False,13.69575,-0.014078732579946518
S05,20241125,030005,84,88,False,False,1.3255,-0.013979317620396614
S05,20241125,030005,85,86,False,False,-8.07775,-0.007510303519666195
S05,20241125,030005,85,87,False,False,12.25925,-0.012910176999866962
S05,20241125,030005,85,88,False,False,-2.16975,-0.01262807846069336
S05,20241125,030005,86,87,False,False,3.21675,0.009067267179489136
S05,20241125,030005,86,88,False,False,-5.0615,0.010212983936071396
S05,20241125,030005,87,88,False,False,-8.0465,0.015899430960416794
S05,20250227,170004,89,90,False,False,-43.375,-0.02898739092051983
S05,20250227,170004,89,91,False,False,-6.06275,-0.05874032899737358
S05,20250227,170004,89,92,False,False,34.442,0.06809141486883163
S05,20250227,170004,90,91,False,False,37.24475,0.03204427659511566
S05,20250227,170004,90,92,False,False,35.3255,0.041311923414468765
S05,20250227,170004,91,92,False,False,-2.2845,0.07755108177661896
S10,20251128,103307,199,200,False,False,-15.729,0.043474629521369934
S10,20251128,103307,199,201,False,False,11.45525,-0.05580928176641464
S10,20251128,103307,199,202,False,False,-22.40125,-0.059886276721954346
S10,20251128,103307,199,203,False,False,-11.1235,-0.05653076618909836
S10,20251128,103307,199,204,False,False,9.70725,0.05531579628586769
S10,20251128,103307,199,205,False,False,-1.08625,-0.04530972242355347
S10,20251128,103307,199,206,False,False,-0.352,-0.04120203107595444
S10,20251128,103307,199,207,False,False,-2.70375,0.04427776858210564
S10,20251128,103307,199,208,False,False,-4.507,0.04124034196138382
S10,20251128,103307,199,209,False,False,-3.36975,0.04168964922428131
S10,20251128,103307,199,210,False,False,3.68925,0.03839068487286568
S10,20251128,103307,199,211,False,False,-2.71425,-0.037110213190317154
S10,20251128,103307,199,212,False,False,-27.2275,-0.0536009818315506
S10,20251128,103307,199,213,False,False,29.0065,-0.05966612324118614
S10,20251128,103307,199,214,False,False,-7.03125,0.04310184344649315
S10,20251128,103307,199,215,False,False,-12.605,0.03957365080714226
S10,20251128,103307,199,216,False,False,2.945,-0.03951554372906685
S10,20251128,103307,199,217,False,False,-13.124,0.04554520919919014
S10,20251128,103307,199,218,False,False,20.748,-0.06010153517127037
S10,20251128,103307,199,219,False,False,-12.93875,0.046301089227199554
S10,20251128,103307,199,220,False,False,12.68275,-0.04009324312210083
S10,20251128,103307,199,221,False,False,-3.0855,0.051787037402391434
S10,20251128,103307,199,222,False,False,-6.66175,-0.0463942214846611
S10,20251128,103307,199,223,False,False,-3.186,-0.04545952007174492
S10,20251128,103307,199,224,False,False,3.889,-0.04898719862103462
S10,20251128,103307,199,225,False,False,-15.39925,0.06969289481639862
S10,20251128,103307,199,226,False,False,30.005,0.05392133817076683
S10,20251128,103307,199,227,False,False,-0.15575,0.04544762521982193
S10,20251128,103307,199,228,False,False,-28.03875,-0.06441755592823029
S10,20251128,103307,199,229,False,False,24.2515,-0.050940413028001785
