,0,1,2,3,4,6,7,18,19,20,21,22,23
alexander_b0,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
baiyuby_v2s_max,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
baiyuby_v2s_att,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
long_convnextv2,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
mauricio_b0_scratch,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
snowflake_convnext,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
snowflake_efnetv2m,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
pseudo_hour_prior,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
labeled_hour_prior,52.0,51.0,60.0,48.0,36.0,48.0,36.0,12.0,36.0,84.0,96.0,72.0,108.0
